"myid","tbs","Name","Rem","Imax","Ipeak","Capacity","Weight","Ri","Volt","ts"
"58","4","Tanic 350","","5.2","7.0","350.0","12.0","70.0","3.7","2006-03-21 17:15:41"
"59","4","Tanic 3650","Gegi Prüfstand","55.0","66.0","3650.0","91.0","5.5","3.7","2006-03-22 13:47:54"
"60","4","Tanic 470","","7.0","9.0","470.0","12.5","40.0","3.7","2006-03-21 17:15:41"
"61","4","Thunder Power 1320 prolite","","13.2","17.0","1320.0","26.0","23.5","3.7","2007-08-31 19:45:28"
"62","4","Thunder Power 2100 prolite","","30.0","40.0","2100.0","45.0","11.5","3.7","2007-08-31 19:45:40"
"63","4","XCell 1450","Gegi Prüfstand","20.0","29.0","1450.0","40.0","16.0","3.7","2006-03-21 17:15:41"
"64","4","XCell 2000","Gegi Prüfstand","30.0","40.0","2000.0","50.0","15.0","3.7","2006-03-21 17:15:41"
"65","4","XCell 3200","Gegi Prüfstand","48.0","64.0","3200.0","80.0","6.0","3.7","2006-03-21 17:15:41"
"66","4","XCell 3900","Gegi Prüfstand","58.5","65.0","4300.0","92.0","5.0","3.7","2006-03-21 17:15:41"
"67","4","XCell 4300","Gegi Prüfstand","60.0","70.0","4300.0","112.0","4.5","3.7","2006-03-21 17:15:41"
"68","4","XCell 480","Gegi Prüfstand","7.2","9.6","480.0","10.5","50.0","3.7","2006-03-21 17:15:41"
"69","4","XCell 950","Gegi Prüfstand","19.0","22.0","950.0","27.0","31.0","3.7","2006-03-21 17:15:41"
"70","4","Intellect SC-4200","Gegi Prüfstand","40.0","65.0","4200.0","69.0","3.0","1.2","2006-03-22 13:48:21"
"71","4","Tanic 1180","Gegi Prüfstand","18.0","24.0","1200.0","29.0","18.0","3.7","2007-01-10 20:22:24"
"72","4","CBP Blaster 3300 NiMH","K. Myers","49.5","66.0","3000.0","63.0","3.4","1.2","2006-03-25 16:03:42"
"73","4","FlightPower EVO 3700","Gegie Prüfstand","56.0","93.0","3600.0","92.0","5.0","3.7","2007-01-17 19:59:09"
"74","4","FullyMax 4100","Fullymax.com/QF Apr-06","40.0","48.0","3975.0","111.7","4.8","3.7","2006-03-26 06:43:10"
"75","4","FullyMax 3300","Fullymax.com/QF Apr-06","32.0","38.4","3150.0","93.3","3.1","3.7","2006-03-26 06:43:49"
"76","4","FullyMax 2250","Fullymax.com/QF Apr-06","26.4","33.0","2025.0","61.7","5.5","3.7","2006-03-26 06:44:41"
"77","4","FullyMax 1700","Fullymax.com/QF Apr-06","19.8","25.0","1620.0","50.0","8.5","3.7","2006-03-26 06:45:23"
"78","4","FullyMax 1350","Fullymax.com/QF Apr-06","15.6","19.5","1290.0","39.0","7.5","3.7","2006-03-26 06:46:01"
"79","4","CBP Elite 3600 NiMH","Quiet Flyer Apr-06","54.0","72.0","3550.0","67.0","1.3","1.25","2006-03-30 10:21:23"
"80","4","XCell 4900","Gegi Prüfstand","76.0","98.0","4900.0","118.0","2.2","3.7","2006-04-28 15:49:49"
"81","4","Konion 1100","S.Lefeber","13.0","22.0","1100.0","42.0","36.0","3.6","2007-01-10 20:36:12"
"82","4","Konion 1100 2p","S.Lefeber","26.0","44.0","2200.0","84.0","18.0","3.6","2007-01-10 20:36:04"
"83","4","Tanic 2080","Gegi Pruefstand","31.5","42.0","2080.0","53.0","8.0","3.7","2006-06-04 10:43:54"
"84","4","Saehan 2500HS","Gegie","40.0","50.0","2500.0","63.0","8.0","3.7","2006-07-02 10:50:03"
"85","4","Saehan 3200HS","Gegie","50.0","65.0","3200.0","82.0","5.5","3.7","2007-08-24 13:57:02"
"86","4","Saehan 4000HS","Gegie","60.0","80.0","4000.0","105.0","4.0","3.7","2006-07-02 10:50:20"
"87","4","Saehan 4800HS","Gegie","75.0","100.0","4800.0","125.0","5.0","3.7","2006-07-02 10:50:29"
"88","4","Sanyo RC 1700 pushed","Bernhard Erdt","50.0","80.0","1700.0","55.0","3.4","1.2","2006-08-18 13:10:37"
"89","4","Panasonic P2000 4/5 SC","Bernhard Erdt","25.0","30.0","2000.0","42.0","5.0","1.2","2006-08-18 13:11:35"
"90","4","Sanyo RC 2/3 SC 1200","Bernhard Erdt","25.0","35.0","1250.0","35.0","6.5","1.2","2006-08-18 13:10:52"
"91","4","Sanyo KR 1100 AEL","Bernhard Erdt","12.0","18.0","1100.0","29.0","9.0","1.2","2006-08-18 13:11:06"
"92","4","Sanyo KR 1800 SCE","Bernhard Erdt","20.0","28.0","1800.0","49.0","6.5","1.2","2006-08-18 13:11:18"
"93","4","Tanic 5000","Gegie Prüfstand","75.0","100.0","5000.0","130.0","2.6","3.6","2006-10-30 12:30:55"
"94","4","Tanic 780","Gegi Prüfstand","10.0","18.0","780.0","20.0","22.0","3.7","2007-01-10 20:24:52"
"95","4","Tanic 1500","Gegi Prüfstand","20.0","30.0","1500.0","38.0","15.0","3.7","2007-01-10 20:26:50"
"96","4","AHA 850","","8.5","12.0","850.0","20.0","28.0","3.7","2007-01-17 19:54:12"
"97","4","AHA 2200","","25.0","33.0","2200.0","50.0","13.0","3.7","2007-01-17 19:53:36"
"98","4","KonionX 2300 FePO4","Gegi Prüfstand","46.0","50.0","2300.0","71.0","9.0","3.0","2007-01-17 20:05:01"
"99","4","FlightPower EVO 1800","Gegi Prüfstand","30.0","45.0","1800.0","43.0","12.0","3.7","2007-01-10 20:41:05"
"100","4","FlightPower EVO 2150","Gegi Prüfstand","32.0","43.0","2150.0","55.0","11.0","3.7","2007-01-17 19:57:10"
"101","4","PolyQuest 2150XP","Gegi Prüfstand","32.0","44.0","2150.0","52.0","10.0","3.7","2007-01-10 20:46:38"
"102","4","PolyQuest 3800Mn","Gegi Prüfstand","57.0","68.0","3800.0","105.0","4.1","3.7","2007-01-10 20:48:58"
"103","4","PolyQuest 5000XP","Gegi Prüfstand","75.0","110.0","5000.0","130.0","2.6","3.7","2007-01-10 20:49:57"
"104","4","Saphion 3S2P","","36.0","90.0","2400.0","256.0","9.0","3.2","2006-08-02 21:07:36"
"105","4","FlightPower EVO 1200","Uwe D.","24.0","36.0","1200.0","35.0","12.5","3.7","2007-01-17 19:58:02"
"106","4","FlightPower EVO 2500","Gegi Prüfstand","38.0","50.0","2500.0","65.0","8.0","3.7","2007-01-17 19:56:43"
"107","4","PolyQuest 6000XP","Gegi Prüfstand","90.0","120.0","6000.0","174.0","2.4","3.7","2007-01-17 20:02:39"
"108","4","BMZ Li-Ion FePO4 26650-X","Gegi Prüfstand","46.0","50.0","2300.0","71.0","9.0","3.0","2007-01-17 20:05:36"
"109","4","Powerhouse 1450","Gegi Prüfstand","30.0","34.0","1450.0","39.0","19.0","3.7","2007-01-17 20:09:52"
"110","4","Konion 1300","Gegie Prüfstand","19.0","26.0","1300.0","43.0","24.0","3.6","2007-01-18 13:06:56"
"111","4","Thunder Power eXtrem 2070","Gegie Prüfstand","20.0","62.0","1920.0","50.0","8.0","3.7","2007-01-18 13:13:38"
"112","4","Thunder Power eXtrem 3850","Gegie Prüfstand","70.0","110.0","3650.0","95.0","4.5","3.7","2007-01-18 13:13:23"
"113","4","Hyperion LiteStorm CL 2100","Gegi Prüfstand","33.0","42.0","2100.0","45.0","11.0","3.7","2007-01-18 13:21:58"
"114","4","Hyperion LiteStorm VX 4350","Gegi Prüfstand","66.0","97.0","4350.0","110.0","3.5","3.7","2007-01-18 13:22:15"
"115","4","Hyperion LiteStorm VX 2500","Gegi Prüfstand","38.0","60.0","2500.0","65.0","8.0","3.7","2007-01-18 13:22:33"
"116","4","Tanic 1050","","10.0","15.0","1050.0","23.0","41.0","3.7","2007-01-18 13:30:36"
"117","4","Tanic 2220","","22.0","26.0","2220.0","49.0","34.0","3.7","2007-01-18 13:32:49"
"118","4","XCell 2100","Gegi Prüfstand","28.0","42.0","2100.0","46.0","13.0","3.7","2007-01-18 13:37:15"
"119","4","LemonRC 460 LiPo C15/20","ueliisa ","6.9","9.19","460.0","10.19","100.0","3.7","2007-04-03 22:27:19"
"120","4","XCell 1800","","28.0","36.0","1800.0","45.0","15.5","3.7","2007-03-08 10:38:30"
"121","4","Hyperion LiteStorm 1200","ueliisa: 20C/30C - aircraft-world.com","24.0","36.0","1200.0","32.0","0.0","3.7","2007-08-31 19:43:36"
"122","4","Kokam 4000H","www.elektromodellflug.de","80.0","120.0","4000.0","104.0","2.5","3.7","2007-05-01 09:39:51"
"123","4","XCell NiMH 3800","www.elektromodellflug.de","50.0","64.0","3800.0","65.0","4.0","1.2","2007-05-01 09:51:10"
"124","4","FlightPower EVO 3300","www.elektromodellflug.de","55.0","85.0","3300.0","85.0","5.0","3.7","2007-05-01 09:54:26"
"125","4","Kokam 4000H5 - 20/30C","GeGi Prüfstand","100.0","120.0","4000.0","104.0","2.5","3.7","2007-06-19 01:28:47"
"126","4","Kokam Graupner 2000","","25.0","30.0","2000.0","110.0","0.0","3.7","2007-06-21 23:21:09"
"127","4","FullyMax 860","","13.0","25.0","860.0","69.0","10.11","3.7","2007-06-21 23:39:49"
"128","4","Kokam 3200H5","www.elektromodellflug.de","80.0","96.0","3200.0","89.0","4.0","3.7","2007-06-12 06:51:38"
"129","4","Kokam 2400H5","www.elektromodellflug.de","48.0","72.0","2400.0","65.0","6.5","3.7","2007-06-12 06:52:36"
"130","4","Kokam 2100H5","www.elektromodellflug.de","42.0","63.0","2100.0","59.0","7.0","3.7","2007-08-31 19:42:28"
"131","4","Kokam 1800H5","www.elektromodellflug.de","36.0","54.0","1800.0","51.0","8.5","3.7","2007-08-31 19:41:58"
"132","4","M1 (A123 Systems)/(DeWalt 36V)","K. Myers","48.0","70.0","2300.0","75.0","10.8","3.3","2007-06-25 19:44:49"
"133","4","LemonRC 1350 LiPo C15/20","","20.2","27.0","1350.0","40.0","48.0","3.7","2007-06-30 15:32:18"
"134","4","LemonRC 1700 LiPo C15/20","","34.0","51.0","1700.0","144.0","49.0","3.7","2007-06-30 15:32:38"
"135","4","Saehan 1300HS","www.elektromodellflug.de","26.0","33.0","1300.0","34.0","10.0","3.7","2007-09-02 09:16:04"
"136","4","Saehan 950HS","www.elektromodellflug.de","19.0","24.0","950.0","26.0","16.0","3.7","2007-09-02 09:16:49"
"137","4","Saehan 1600HS","www.elektromodellflug.de","32.0","45.0","1600.0","38.0","11.0","3.7","2007-09-02 09:16:59"
"138","4","Hypercell, 5100","Staufenbiel","75.0","100.0","5100.0","125.0","6.0","3.7","2007-07-27 18:33:47"
"139","4","FlightPower EVO 25 2500","","62.5","125.0","2500.0","71.0","7.2","3.7","2007-07-25 18:20:00"
"140","4","FlightPower EVO 20 2170","Uwe D.","54.25","86.8","2170.0","59.0","11.2","3.7","2007-07-26 19:01:07"
"141","4","Saehan 3400HS","www.elektromodellflug.de","60.0","75.0","3400.0","87.0","4.5","3.7","2007-09-02 09:14:57"
"142","4","Art-Tech 2/3A 1000mAh","","18.0","20.0","1000.0","20.3","14.3","1.2","2007-09-09 01:23:25"
"143","4","3E 1800mAh 10C Li-Po","www.tedani.com","18.0","20.0","1800.0","42.0","9.0","3.7","2007-09-09 01:23:05"
"144","4","Litronics 2200","www.elektromodellflug.de","33.0","48.0","2200.0","56.0","12.0","3.7","2007-09-02 09:07:37"
"145","4","Align 2200","www.elektromodellflug.de","32.0","42.0","2100.0","55.0","13.0","3.7","2007-09-02 09:11:28"
"146","4","Yuntong 2100","www.elektromodellflug.de","32.0","46.0","2100.0","57.0","12.0","3.7","2007-09-02 09:13:24"
"147","4","PolyQuest 2000XQ","www.elektromodellflug.de","40.0","60.0","2000.0","53.0","6.0","3.7","2007-09-02 09:18:45"
"148","4","Vtec SC-4200UP","Batteries","50.0","60.0","4200.0","72.0","3.3","1.2","2007-10-05 13:41:11"
"149","4","Kokam 5000 (30C)","GeGi Prüfstand","125.0","150.0","5000.0","130.0","2.5","3.7","2007-10-05 19:37:13"
"150","4","First Products Li-Mn 1400","Batteries","14.0","21.0","1400.0","42.0","23.0","3.7","2007-10-05 13:40:54"
"151","4","PolyQuest 1200XQ","Catalog data","36.0","60.0","1200.0","31.0","8.0","3.7","2008-12-29 17:49:39"
"152","4","Li-Ion-Mn 1400 (1p first-connect)","www.elektromodellflug.de","21.0","28.0","1400.0","42.0","23.0","3.7","2008-07-19 08:25:53"
"153","4","PolyQuest  3200XQ","","64.0","96.0","3200.0","87.0","4.0","3.7","2007-11-12 08:51:45"
"154","4","Polyquest  4500XQ","","90.0","135.0","4500.0","125.0","3.5","3.7","2007-11-12 08:52:54"
"155","4","Dualsky RockAmp 2200 (25C)","www.elektromodellflug.de","44.0","55.0","2200.0","55.0","9.0","3.7","2007-11-14 06:03:35"
"156","4","Dualsky XPower 2200 (16C)","www.elektromodellflug.de","33.0","44.0","2200.0","50.0","13.0","3.7","2007-11-14 06:04:42"
"157","4","Li-Max 2500 (20C)","www.indoorflieger.de (GeGie)","50.0","63.0","2500.0","65.0","7.0","3.7","2007-11-15 06:37:31"
"158","4","HOT LIPS 3200","Topmodel","48.0","64.0","3200.0","87.0","9.0","3.7","2007-11-20 22:35:27"
"159","4","HOT LIPS 4000","Topmodel","52.0","72.0","4000.0","108.0","6.0","3.7","2007-11-20 22:36:01"
"160","4","XCell 3300 (30C)","www.elektromodellflug.de","66.0","99.0","3300.0","86.0","4.0","3.7","2007-11-26 06:39:10"
"161","4","XCell 5000 (30C)","www.elektromodellflug.de","100.0","150.0","5000.0","125.0","2.5","3.7","2007-11-26 06:38:39"
"162","4","HXT D9 G2 2200mAh 20-30C","FlyingFred 20C/30C von Unitedhobbies.com ohne Gewähr","44.0","66.0","2200.0","63.0","9.0","3.7","2007-11-29 20:01:43"
"163","4","HXT D9 G2 1700mAh 20-30C","FlyingFred 20C/30C von Unitedhobbies.com ohne Gewähr","34.0","51.0","1700.0","50.0","9.0","3.7","2007-11-29 20:02:10"
"164","4","Dualsky XPower 1000 (16C) 2p","www.dualsky.de","16.0","30.0","1000.0","26.0","35.0","3.7","2007-12-01 15:36:27"
"165","4","MZ-Power 2300","www.elektromodellflug.de","46.0","58.0","2300.0","60.0","10.0","3.7","2008-01-14 00:49:09"
"166","4","MZ-Power 350","www.elektromodellflug.de","7.0","9.0","350.0","10.0","55.0","3.7","2008-01-14 00:49:19"
"167","4","Saehan 4400-30C","www.elektromodellflug.de","88.0","132.0","4400.0","118.0","2.5","3.7","2008-12-29 17:48:32"
"168","4","Saehan 2100-20C","www.elektromodellflug.de","42.0","53.0","2100.0","52.0","8.0","3.7","2008-12-29 17:48:55"
"169","4","Kokam 1500H5","www.elektromodellflug.de","30.0","45.0","1500.0","41.0","10.0","3.7","2008-01-15 05:59:15"
"170","4","XCell 2100 (30C)","www.elektromodellflug.de","42.0","63.0","2100.0","56.0","6.0","3.7","2008-02-10 17:35:30"
"171","4","XCell 2500 (30C)","www.elektromodellflug.de","50.0","75.0","2500.0","65.0","5.5","3.7","2008-02-10 17:36:38"
"172","4","XCell 1800 (30C)","www.elektromodellflug.de","36.0","54.0","1800.0","48.0","8.0","3.7","2008-02-10 17:37:33"
"173","4","MZ-Power 1500","www.elektromodellflug.de","30.0","38.0","1500.0","37.0","14.0","3.7","2008-02-10 17:38:56"
"174","4","MZ-Power 2000","www.elektromodellflug.de","45.0","50.0","2000.0","52.0","11.0","3.7","2008-02-10 17:39:43"
"175","4","MZ-Power 3200","www.elektromodellflug.de","64.0","80.0","3200.0","85.0","6.0","3.7","2008-02-27 08:49:33"
"176","4","MZ-Power 4500","www.elektromodellflug.de","90.0","113.0","4500.0","118.0","5.0","3.7","2008-02-27 08:50:26"
"177","4","XCell 4100 (30C)","www.elektromodellflug.de","82.0","125.0","4100.0","108.0","3.5","3.7","2008-03-10 10:37:29"
"178","4","XCell 5500 (25C)","www.elektromodellflug.de","110.0","160.0","5500.0","135.0","3.0","3.7","2008-03-10 10:39:42"
"179","4","ABF 2200","www.hobbycity.com","39.6","50.6","2200.0","53.3","8.0","3.7","2008-04-29 22:25:34"
"180","4","SLS-ZX 2500-30C","www.elektromodellflug.de","60.0","87.0","2500.0","65.0","5.0","3.7","2008-05-30 06:06:37"
"181","4","GWS BP2S1P1300","www.gws.com.tw","7.8","9.4","1300.0","29.0","40.0","3.7","2011-03-13 12:42:08"
"182","4","LemonRC 620 mAh 15C","www.modellbau-rosin.de","9.3","12.4","620.0","16.0","50.0","3.7","2008-04-29 22:27:05"
"183","4","HXT D9 G2 4100mAh ","jerome magnien","62.0","100.0","4100.0","545.0","6.0","3.7","2011-03-13 12:53:42"
"184","4","SLS-ZX 3700-30C","www.elektromodellflug.de","75.0","125.0","3700.0","95.0","4.0","3.7","2008-05-30 05:50:13"
"185","4","SLS-ZX 2200-30C","www.elektromodelllfug.de","55.0","77.0","2200.0","58.0","5.5","3.7","2008-05-30 06:01:57"
"186","4","SLS-ZX 2200-25C","www.elektromodellflug.de","44.0","55.0","2200.0","53.0","8.5","3.7","2008-05-30 06:08:09"
"187","4","SLS-ZX 4500-25C","www.elektromodellflug.de","90.0","155.0","4500.0","127.0","3.0","3.7","2008-05-30 06:10:57"
"188","4","Loong Max 500mAH 15C","www.hobbycity.com","7.5","10.0","500.0","15.0","70.0","3.7","2008-06-06 15:50:46"
"189","4","E-Tech GP 2250 16C","www.rcm-pelikan.cz","35.0","44.0","2200.0","63.0","7.5","3.7","2011-03-13 12:54:08"
"190","4","A 123  LiFePo4  / P1","A123 Systems","50.0","70.0","2300.0","71.0","9.0","3.1","2008-07-19 08:27:15"
"191","4","A 123  LiFePo4  / P2","A123 Systems","100.0","140.0","4600.0","142.0","4.5","3.1","2008-07-19 08:27:36"
"192","4","SLS-ZX 3300-30C","ww.elektromodellflug.de","66.0","100.0","3300.0","88.0","6.5","3.7","2008-08-28 13:10:20"
"193","4","SLS-ZX 3300-25C","www.elektromodellflug.de","66.0","83.0","3300.0","84.0","7.0","3.7","2008-08-28 13:11:10"
"194","4","Saehan 2500-30C","www.elektromodellflug.de","50.0","75.0","2500.0","73.0","6.5","3.7","2008-08-28 13:14:04"
"195","4","Saehan 3500-30C","www.elektromodellflug.de","70.0","105.0","3500.0","100.0","5.0","3.7","2008-08-28 13:14:49"
"196","4","RC Power HP-Line 2300 (15C)","www.rc-toy.de, Ri geschÌÛtzt","34.5","41.4","2300.0","53.0","8.5","3.7","2008-07-18 12:23:39"
"197","4","Rhino1050","http://www.hobbycity.com/hobbycity/store/uh_viewItem.asp?idProduct=7309","21.0","31.5","1050.0","33.4","8.0","3.7","2008-10-04 13:11:37"
"198","4","LemonRC 2500 25C","","62.0","100.0","2500.0","209.0","6.5","3.7","2008-10-16 12:12:59"
"199","4","LiPolice 750-25C","www.elektromodellflug.de","12.0","18.0","750.0","22.0","33.0","3.7","2008-10-17 06:20:18"
"200","4","LiPolice 1000-25C","www.elektromodellflug.de","25.0","30.0","1000.0","25.0","16.5","3.7","2008-10-17 06:21:33"
"201","4","LiPolice 2200-25C","www.elektromodellflug.de","55.0","66.0","2200.0","60.0","8.0","3.7","2008-10-17 06:22:41"
"202","4","LiPolice 1700-25C","www.elektromodellflug.de","42.0","51.0","1700.0","46.0","9.5","3.7","2008-10-17 06:23:29"
"203","4","LiPolice 3200-25C","www.elektromodellflug.de","80.0","96.0","3200.0","92.0","5.1","3.7","2008-10-17 06:24:35"
"204","4","LiPolice 4000-25C","www.elektromodellflug.de","100.0","120.0","4000.0","113.0","4.4","3.7","2008-10-17 06:25:29"
"205","4","LiPolice 5000-25C","www.elektromodellflug.de","100.0","125.0","5000.0","125.0","4.2","3.7","2008-10-17 06:26:16"
"206","4","Litronics 2200-25C","www.elektromodellflug.de","44.0","55.0","2200.0","56.0","8.7","3.7","2008-11-12 06:18:22"
"207","4","Litronics 3200-25C","www.elektromodellflug.de","64.0","80.0","3200.0","90.0","5.5","3.7","2008-11-12 06:18:12"
"208","4","Litronics 5000-22C","www.elektromodellflug.de","100.0","125.0","5000.0","126.0","3.8","3.7","2008-11-12 06:20:20"
"209","4","Litronics 2500-25C","www.elektromodellflug.de","50.0","75.0","2500.0","67.0","7.0","3.7","2008-11-12 06:22:07"
"210","4","SLS-ZX 360-25C","www.elektromodellflug.de","9.0","12.0","360.0","10.0","50.0","3.7","2008-12-22 06:57:06"
"211","4","Saehan 350H5","www.elektromodellflug.de","9.0","12.0","350.0","11.0","73.0","3.7","2008-12-22 06:58:22"
"212","4","LiTop25-1300","www.elektromodellflug.de","32.0","39.0","1300.0","33.0","14.4","3.7","2008-12-22 07:00:48"
"213","4","LiTop25-1800","www.elektromodellflug.de","45.0","54.0","1800.0","46.0","9.3","3.7","2008-12-22 07:02:09"
"214","4","LiTop25-2200","www.elektromodellflug.de","55.0","66.0","2200.0","58.0","7.8","3.7","2008-12-22 07:03:18"
"215","4","LiTop25-3300","www.elektromodellflug.de","82.5","99.0","3300.0","89.0","4.5","3.7","2008-12-22 07:04:15"
